ra,dec,insmag_V,insmagerr_V,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.50416,-0.05823,-10.625,0.053,19.3266,0.009,19.0528,0.0062,18.912,0.0065,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.48974,-0.05467,-14.255,0.01,15.8743,0.003,15.1637,0.0023,14.8746,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.54783,-0.05474,-12.876,0.011,17.1318,0.002,16.7202,0.0022,16.5631,0.0017,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.54673,-0.05638,-10.18,0.036,19.8254,0.0073,19.2251,0.008,18.9789,0.0056,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.51235,-0.0545,-10.863,0.022,19.2332,0.0075,18.5701,0.0043,18.2843,0.0038,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63774,-0.05434,-10.657,0.026,19.386,0.0046,18.8583,0.0045,18.6637,0.0049,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.48712,-0.05482,-10.536,0.033,19.453,0.009,19.086,0.0049,18.9421,0.0057,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.60244,-0.05333,-11.636,0.014,18.4381,0.0055,17.9282,0.003,17.7143,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.65864,-0.05494,-9.831,0.057,20.4947,0.0229,19.1843,0.0048,18.4717,0.0056,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.53805,-0.05262,-10.187,0.041,20.1253,0.0153,19.0259,0.0072,18.5008,0.0042,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
