ra,dec,insmag_B,insmagerr_B,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.63335,0.09921,-10.188,0.035,16.4165,0.0022,15.8876,0.002,15.6885,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.62905,0.10141,-9.611,0.064,16.9507,0.0053,16.3115,0.0022,16.0504,0.0017,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.51324,0.10241,-10.617,0.026,16.0134,0.0018,15.5689,0.0021,15.398,0.0019,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.62006,0.10635,-9.594,0.094,17.148,0.0025,16.6738,0.0032,16.4702,0.0028,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.61656,-0.12717,-14.446,0.017,14.5812,0.0017,14.2146,0.0021,14.0792,0.0008,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.62815,-0.12837,-11.059,0.018,18.0192,0.0059,17.7014,0.004,17.5699,0.0032,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.53198,-0.12803,-10.288,0.022,18.3448,0.0071,17.1278,0.0032,16.3209,0.002,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.46771,-0.12692,-10.706,0.025,18.0902,0.0053,17.5502,0.0034,17.3409,0.0031,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.51404,-0.1252,-9.459,0.037,19.3689,0.0089,18.7268,0.0053,18.4588,0.0046,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.65334,-0.12568,-9.234,0.037,19.7604,0.009,19.3787,0.0085,19.2201,0.0066,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.43609,-0.12392,-7.642,0.191,20.9669,0.0188,19.6568,0.0091,18.7891,0.0057,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.4851,-0.1211,-11.621,0.021,17.1389,0.0027,16.4553,0.0014,16.2204,0.0031,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.61633,-0.12314,-7.754,0.145,20.6264,0.0199,19.4395,0.0054,18.4281,0.0062,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.54776,-0.12182,-9.94,0.027,18.9275,0.006,18.3191,0.0036,18.0885,0.0039,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.63018,-0.11902,-13.005,0.017,15.9466,0.0016,15.4537,0.0022,15.2772,0.001,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.53838,-0.11811,-9.886,0.026,19.1257,0.0091,18.8026,0.0046,18.6912,0.0044,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.55761,-0.11854,-9.177,0.042,19.7478,0.0131,19.2168,0.0054,18.9693,0.0046,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.61945,-0.11656,-8.966,0.051,19.851,0.0185,19.0856,0.0055,18.7191,0.005,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.47717,-0.11608,-9.059,0.044,20.0303,0.0221,19.6432,0.0102,19.5163,0.009,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.59396,-0.11402,-10.512,0.019,18.4226,0.0049,17.8019,0.0043,17.5523,0.0031,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.49103,-0.11209,-8.804,0.058,20.2365,0.0142,19.7778,0.012,19.5707,0.0065,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.49571,-0.1097,-11.409,0.018,17.3198,0.0031,16.3501,0.002,15.9706,0.002,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.66326,-0.10716,-11.97,0.017,16.759,0.0035,15.6082,0.001,14.9448,0.0014,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.56315,-0.10951,-8.804,0.06,19.8504,0.0133,18.6522,0.0064,17.6398,0.0035,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.62109,-0.10858,-10.591,0.018,18.4682,0.0052,18.1471,0.0042,18.0066,0.0027,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.59634,-0.10885,-8.584,0.066,20.3555,0.0196,19.8704,0.0098,19.6203,0.0137,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.5399,-0.10694,-11.137,0.019,17.8605,0.0034,17.4095,0.0027,17.248,0.0026,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.47857,-0.10673,-10.653,0.021,18.165,0.0038,17.4788,0.0026,17.1768,0.0042,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.51343,-0.10571,-10.965,0.02,18.0287,0.0044,17.6155,0.0038,17.4646,0.0033,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.52955,-0.10606,-8.843,0.055,20.0442,0.0135,19.5122,0.0064,19.3504,0.0079,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.62001,-0.10492,-10.938,0.017,18.0039,0.0031,17.4778,0.003,17.2617,0.0019,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.48297,-0.10352,-9.309,0.037,19.6042,0.0117,19.0344,0.0054,18.8125,0.0059,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.6179,-0.10351,-9.809,0.026,19.1671,0.0106,18.7326,0.0051,18.5398,0.0036,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.64471,-0.10246,-11.231,0.017,17.8848,0.0046,17.5801,0.0024,17.4579,0.0025,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.43322,-0.10293,-9.881,0.027,18.9666,0.0071,18.1286,0.0038,17.7907,0.0024,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.56435,-0.10108,-9.948,0.025,19.0742,0.0047,18.573,0.0054,18.3444,0.0031,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.46127,-0.10099,-9.214,0.039,19.3198,0.014,18.1397,0.0027,17.238,0.0034,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.49222,-0.10052,-9.797,0.029,19.2681,0.0091,19.01,0.0077,18.9017,0.0053,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.54916,-0.09888,-11.472,0.016,17.5774,0.0037,17.2055,0.0037,17.0625,0.0023,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
